dataset,model_name,task_type,sens_heuristic_mean,sens_heuristic_std,sens_judge_mean,sens_judge_std,eas_mean,eas_std,mean_heuristic,mean_judge,stab_sem_mean,n_artifact,n_genuine,n_stable,n_items,eas_ci_lo,eas_ci_hi,sh_ci_lo,sh_ci_hi,sj_ci_lo,sj_ci_hi
arc_challenge,llama3.2:3b,mcq,0.09869267032405879,0.19093891739292587,0.20658005715951203,0.22691049302134242,0.1379650858665437,0.20623252354433036,0.680625,0.59125,,107,0,93,200,0.10832089849064495,0.1662530872645888,0.07162782408221545,0.1246383972399515,0.17354333249700477,0.240282986254843
boolq,llama3.2:3b,boolean,0.07751132840293527,0.17069763437469754,0.12971418760336237,0.20199035882857921,0.07290752189361979,0.1559251682357945,0.7825,0.753125,,140,0,60,200,0.05223953606423194,0.09653105305923174,0.054740593823559704,0.10252305335554843,0.10302502760997655,0.15867037358970854
squad,llama3.2:3b,open_ended,0.17759504554919134,0.13392894701510602,0.08530836820304151,0.17132899766747894,0.19055512030763083,0.1386975632371452,0.4549418519796648,0.848125,,159,0,41,200,0.17016022246769535,0.21090068445744217,0.15886873547027364,0.19809830096536676,0.06347677253541947,0.10889466558199118
