dataset,model_name,task_type,sens_heuristic_mean,sens_heuristic_std,sens_judge_mean,sens_judge_std,eas_mean,eas_std,mean_heuristic,mean_judge,stab_sem_mean,n_artifact,n_genuine,n_stable,n_items,eas_ci_lo,eas_ci_hi,sh_ci_lo,sh_ci_hi,sj_ci_lo,sj_ci_hi
arc_challenge,qwen2.5:7b,mcq,0.03381459827544611,0.1203155313285218,0.171133685750347,0.22278532967205655,0.1514093718904321,0.21481580053993465,0.885625,0.794375,,0,0,200,200,0.12166678395227161,0.17835322194792236,0.01739915993189184,0.05078940146705783,0.1401694580069095,0.20104051902941386
boolq,qwen2.5:7b,boolean,0.030962266928849767,0.11441664595233315,0.07298690730224017,0.16714544372865953,0.057377705272404045,0.14990995193161002,0.839375,0.81375,,0,0,200,200,0.03765371595529393,0.0787189731661857,0.01590335577242335,0.047771475654771356,0.05255291435903618,0.09676847335407174
squad,qwen2.5:7b,open_ended,0.1994377210281501,0.13947268286187325,0.07499356677066918,0.1683621662910174,0.22631855434304193,0.14422628115517774,0.46657892909040327,0.896875,,0,0,200,200,0.20471768330252882,0.24553060204126675,0.18110505657114492,0.21873729376296724,0.051740683626659977,0.0994055245666176
