dataset,model_name,task_type,sens_heuristic_mean,sens_heuristic_std,sens_judge_mean,sens_judge_std,eas_mean,eas_std,mean_heuristic,mean_judge,stab_sem_mean,n_artifact,n_genuine,n_stable,n_items,eas_ci_lo,eas_ci_hi,sh_ci_lo,sh_ci_hi,sj_ci_lo,sj_ci_hi
arc_challenge,qwen2.5:3b,mcq,0.051610685250439776,0.14530581913105467,0.18343068601280943,0.2263153810223836,0.1435557209425145,0.2100032383437777,0.788125,0.708125,,119,0,81,200,0.11463461770762852,0.1735206545609925,0.03179588563593325,0.0721046596320235,0.15220702435102565,0.2158564990169076
boolq,qwen2.5:3b,boolean,0.060015021430156974,0.15421652272745792,0.11402449983627994,0.19606278718738196,0.07467935138720078,0.16321751215180771,0.738125,0.72625,,148,0,52,200,0.05340068178538989,0.0985721407856596,0.040426557046490647,0.0830448894541818,0.0865231029703607,0.14203758876392955
squad,qwen2.5:3b,open_ended,0.13702660198815322,0.1284784273271702,0.07046581941896102,0.16131975580093322,0.16308867343531352,0.14468606236826773,0.38616849936804976,0.878125,,167,0,33,200,0.14429805799930792,0.18257788531628386,0.11994186062935319,0.15416722698371585,0.04733586689372162,0.09247117759728819
