dataset,model_name,task_type,sens_heuristic_mean,sens_heuristic_std,sens_judge_mean,sens_judge_std,eas_mean,eas_std,mean_heuristic,mean_judge,stab_sem_mean,n_artifact,n_genuine,n_stable,n_items,eas_ci_lo,eas_ci_hi,sh_ci_lo,sh_ci_hi,sj_ci_lo,sj_ci_hi
arc_challenge,gemma2:2b,mcq,0.048462266928849765,0.1431370839725251,0.15264531830967515,0.2180876380897731,0.12154500167065516,0.20025451551841225,0.690625,0.60625,,133,0,67,200,0.09457887809530126,0.15079297971445457,0.030311863972044245,0.06870112509991638,0.12341505095156725,0.18350482305022361
boolq,gemma2:2b,boolean,0.10229868663999232,0.19715464356471119,0.13338050809432894,0.2117918648830779,0.05399113072495294,0.14672801025196566,0.758125,0.738125,,142,0,58,200,0.03528798063653429,0.07518772423872629,0.07716092644143273,0.12921621487299492,0.10505256846009492,0.1607315772968904
squad,gemma2:2b,open_ended,0.11492984952554393,0.12723338760269703,0.07731872069869222,0.16541387237893507,0.1554515650158066,0.1512222976621636,0.425609004467071,0.856875,,163,0,37,200,0.1337937226166746,0.17550095704463703,0.0979466843000541,0.13356904073899561,0.055425689432284785,0.09929158141452667
