dataset,model_name,task_type,sens_heuristic_mean,sens_heuristic_std,sens_judge_mean,sens_judge_std,eas_mean,eas_std,mean_heuristic,mean_judge,stab_sem_mean,n_artifact,n_genuine,n_stable,n_items,eas_ci_lo,eas_ci_hi,sh_ci_lo,sh_ci_hi,sj_ci_lo,sj_ci_hi
arc_challenge,llama3.2:1b,mcq,0.26316811565265613,0.23081278258983945,0.2816678114962633,0.2178601828311489,0.13085974048321172,0.1900869954562594,0.473125,0.35625,,20,60,120,200,0.1037371681137085,0.15838617993905443,0.23370338509590885,0.2976236993759302,0.25396554384243414,0.3112539756228346
boolq,llama3.2:1b,boolean,0.19642201989468858,0.22419513239012953,0.23661152062061386,0.2282277983711615,0.06180461255600404,0.14418340269521296,0.5525,0.51875,,5,72,123,200,0.04343866343824939,0.0822556366083048,0.16485847247450103,0.2288515087497992,0.20558664640490237,0.26718333653868115
squad,llama3.2:1b,open_ended,0.1664122083101431,0.13511156259689544,0.17279860872269762,0.21409947160656687,0.20955329834555234,0.14374206684588625,0.3348068155467987,0.76625,,96,4,100,200,0.19025510768361262,0.2277422008165016,0.14674591368362172,0.1859779547602215,0.1451863829571678,0.20220861910472182
