dataset,model_name,task_type,sens_heuristic_mean,sens_heuristic_std,sens_judge_mean,sens_judge_std,eas_mean,eas_std,mean_heuristic,mean_judge,stab_sem_mean,n_artifact,n_genuine,n_stable,n_items,eas_ci_lo,eas_ci_hi,sh_ci_lo,sh_ci_hi,sj_ci_lo,sj_ci_hi
arc_challenge,llama3.1:8b,mcq,0.10623009923881614,0.1876682923551251,0.2593445632184654,0.2165203288215413,0.17150081925440502,0.20399519138661903,0.745625,0.67375,,31,18,151,200,0.13961062371954955,0.1986032023037069,0.0811728507132574,0.1307382842405715,0.22875062850224975,0.2885172241217655
boolq,llama3.1:8b,boolean,0.06320302281970952,0.15847816743710275,0.1554201698978763,0.21188955070366797,0.10111387096434238,0.1835557475965697,0.859375,0.801875,,18,17,165,200,0.07575219504155954,0.1287104134285219,0.04218774864768307,0.08552756826102209,0.1267411921592824,0.18534756386314039
squad,llama3.1:8b,open_ended,0.15033729878052732,0.1252928032990954,0.07497174533497274,0.1657872566688917,0.17361017081049063,0.1376926692783961,0.6214679430441767,0.875,,126,0,74,200,0.1534276699285707,0.19282174963165183,0.13331585324269232,0.16932568234233913,0.051226524899227334,0.09874952096349297
