dataset,model_name,task_type,sens_heuristic_mean,sens_heuristic_std,sens_judge_mean,sens_judge_std,eas_mean,eas_std,mean_heuristic,mean_judge,stab_sem_mean,n_artifact,n_genuine,n_stable,n_items,eas_ci_lo,eas_ci_hi,sh_ci_lo,sh_ci_hi,sj_ci_lo,sj_ci_hi
arc_challenge,mistral:instruct,mcq,0.072613121296156,0.16351151240532003,0.10135466639284592,0.17975166174445892,0.08881259162575429,0.17205474684871896,0.6675,0.565625,,0,0,200,200,0.06767352705371071,0.11196304802652998,0.052038322406628826,0.09503223007584102,0.07692289962707773,0.12610544131167156
boolq,mistral:instruct,boolean,0.07314509207057696,0.17216780848164875,0.10865477363362615,0.19187422640997825,0.048031136222536984,0.13241577056325357,0.8425,0.80625,,0,0,200,200,0.030571905967241124,0.0678930315078574,0.05054596039447498,0.09889344371587902,0.08317028527954297,0.13769324343269615
squad,mistral:instruct,open_ended,0.05609119093657904,0.06454604499809036,0.08619362314917138,0.1756414212900321,0.11796748458931638,0.14624249257617275,0.2858897100627346,0.87625,,0,0,200,200,0.0985623962192622,0.1372538940449526,0.04782321969853973,0.06529374432967297,0.06286605946055125,0.10981470312866574
