dataset,model_name,task_type,sens_heuristic_mean,sens_heuristic_std,sens_judge_mean,sens_judge_std,eas_mean,eas_std,mean_heuristic,mean_judge,stab_sem_mean,n_artifact,n_genuine,n_stable,n_items,eas_ci_lo,eas_ci_hi,sh_ci_lo,sh_ci_hi,sj_ci_lo,sj_ci_hi
arc_challenge,mistral-nemo:latest,mcq,0.07822041767576697,0.1746955463893396,0.14640863833801482,0.21914236812525809,0.11763156997679271,0.2010492801500861,0.741875,0.6375,,0,0,200,200,0.09126727179792024,0.14650982806661766,0.05565512691169782,0.10284428328750665,0.11618690982931863,0.17930739537058232
boolq,mistral-nemo:latest,boolean,0.02413213990992757,0.10163000597233757,0.04419007065906014,0.13467712237646487,0.028365119887963305,0.10847726874329681,0.848125,0.83375,,0,0,200,200,0.015132902846515266,0.043451984735556504,0.010472252648291835,0.03925166447462937,0.02667033356098375,0.06297092772487799
squad,mistral-nemo:latest,open_ended,0.11236299494093911,0.12223011568349053,0.06812363741108916,0.16401194963783122,0.14316256358919358,0.14679670104937084,0.5372060060317083,0.88625,,0,0,200,200,0.12236902933567649,0.16316473414553123,0.09448212331360706,0.1285483691167935,0.04640672754341492,0.09117616534229588
